Как действат контрацептивните кремове?;а. намаляват подвижността на сперматозоидите или ги унищожават;б. намаляват подвижността на яйцеклетките;в. намаляват производството на сперматозоиди в тестисите;г. нарушават движението на сперматозоидите през семеотводните каналчета;а;Тема 23
Кое от следните не е вярно за хормоналните контрацептиви?;а. потискат овулацията;б. затрудняват проникването на сперматозоидите в матката;в. намаляват подвижността на сперматозоидите;г. предотвратяват вгнездяването на зародиша В лигавицата на матката;в;Тема 23
Контрацепция се нарича:;а. предпазването от болести, предавани по полов път;б. предпазването от инфекциозни болести;в. предпазването от нежелана бременност;г. използването на хормонални препарати за лечение на нарушения в менструалния цикъл;в;Тема 23
Коя от изброените фази на развитие е специфична за сперматогенезата и липсва при овогенезата?;а. фаза на размножаване;б. фаза на зреене;в. фаза на формиране;г. фаза на нарастване;в;Тема 24
За целия детероден период на жената до пълно узряване достигат около:;а. 2000 - 2500 яйцеклетки;б. 400 - 450 яйцеклетки;в. 20 - 30 яйцеклетки;г. 40000 - 60000 яйцеклетки;б;Тема 24
Къде се осъществява оплождането при човека?;а. матка;б. маточна тръба;в. влагалище;г. яйчник;б;Тема 24
Гиногенезата и андрогенезата са варианти на:;а. хистогенезата;б. партеногенезата;в. филогенезата;г. соматичната ембриогенеза;б;Тема 24
Какъв хромозомен набор притежават гаметите?;а. диплоиден;б. триплоиден;в. хаплоиден;г. тетраплоиден;в;Тема 24
В края на овогенезата от една родоначална клетка се получават:;а. 1 яйцеклетка;б. 2 яйцеклетки;в. 4 яйцеклетки;г. 3 яйцеклетки;а;Тема 24
Разположението на тестиса извън коремната кухина при бозайниците е благоприятно за сперматогенезата, защото:;а. се улеснява еякулацията;б. се подобрява кръвообращението;в. предпазва от травми;г. температурата е по-ниска;г;Тема 24
Овогенезата започва:;а. през ембрионалното развитие на плода;б. в началото на пубертета;в. в края на пубертета;г. с раждането;а;Тема 24
Образуването на мъжки полови клетки се нарича:;а. овогенеза;б. гаметогенеза;в. сперматогенеза;г. партеногенеза;в;Тема 24
Зиготата се дели:;а. митотично;б. редукционно;в. мейотично;г. амитотично;а;Тема 24
Партеногенезата:;а. е закономерно явление при някои бозайници;б. води до удвояване на генетичен материал;в. буквално означава девствено размножаване;г. води до загуба на генетичен материал;в;Тема 24
Акрозомната реакция:;а. удължава живота на яйцеклетката;б. увеличава скоростта на сперматозоида;в. улеснява проникването на сперматозоида в яйцеклетката;г. осигурява благоприятна среда за оплождането;в;Тема 24
В края на сперматогенезата от една родоначална клетка се получават:;а. 2 сперматозоида;б. 4 сперматозоида;в. 8 сперматозоида;г. 3 сперматозоида;б;Тема 24
При човека отделянето на зряла яйцеклетка от яйчника се нарича:;а. овулация;б. еякулация;в. менструация;г. овогенеза;а;Тема 24
Основното предимство на половото размножаване спрямо безполовото е:;а. по-бързо възпроизводство;б. по-голямо потомство;в. по-успешно приспособяване към променящи се условия на средата;г. по-успешно приспособяване към постоянни условия на средата;в;Тема 24
Сперматогенезата започва:;а. в началото на пубертета;б. в края на пубертета;в. с раждането;г. през ембрионалното развитие;а;Тема 24
Каква форма има човешката яйцеклетка?;а. сферична;б. звездовидна;в. вретеновидна;г. неправилна;а;Тема 24
При човека полът се определя;а. преди оплождането;б. след оплождането;в. преди и след оплождането;г. по време на оплождането;г;Тема 24
Кое от следните твърдения за оплождането е грешно?;а. яйцеклетката се атакува от голям брой сперматозоиди;б. акрозомната реакция предотвратява навлизането на втори сперматозоид в яйцеклетката;в. може да бъде външно и вътрешно;г. с навлизането си в яйцеклетката сперматозоидът стимулира до узряването ѝ;б;Тема 24
Акрозомата на сперматозоида се намира в:;а. ядрото;б. опашката;в. шийката;г. главичката;г;Тема 24
Ако сперматозоид съдържа 8 хромозоми, той идва от организъм, който има:;а. 4 хромозоми;б. 8 хромозоми;в. 16 хромозоми;г. 24 хромозоми;в;Тема 24
Полярни телца се образуват при процеса:;а. овогенеза;б. сперматогенеза;в. партеногенеза;г. соматична ембриогенеза;а;Тема 24
В момента на овулация женската гамета на човека се намира В стадий:;а. метафаза II;б. метафаза I;в. профаза I;г. интерфаза II;а;Тема 24
Яйцата на плацентните бозайници са:;а. хетеролецитални;б. алецитални;в. телолецитални;г. центролецитални;б;Тема 24
Хромозомният набор на човешката яйцеклетка е:;а. 22А;б. 2ЗА;в. 22А + Y;г. 22А + Х;г;Тема 24
След фазата на нарастване мъжките полови клетки се наричат:;а. сперматоцити I ред;б. сперматоцити II ред;в. сперматиди;г. сперматогонии;а;Тема 24
След фазата на нарастване женската полова клетка се нарича:;а. овум;б. овогоний;в. овоцит I  ред;г. овоцит II ред;в;Тема 24
След второ мейотично делене при сперматогенезата се получават:;а. сперматоцити I ред;б. сперматоцити II ред;в. сперматиди;г. сперматозоиди;в;Тема 24
Индивидуалното развитие на организмите се нарича още:;а. филогенеза;б. овогенеза;в. онтогенеза;г. сперматогенеза;в;Тема 25
Онтогенезата при животните и човека започва от:;а. зряла яйцеклетка;б. зигота;в. група от недиференцирани клетки;г. многоклетъчен зародиш;б;Тема 25
Кое от изброените твърдения е грешно?;а. всеки зародишен пласт участва в образуването на определени тъкани и органи;б. зародишните пластове се формират по време на гаструлацията;в. при различните групи животни от даден зародишен пласт се образуват различни органи;г. в резултата на дробенето се получава многоклетъчен зародиш, чиито размери не надвишават размерите на зиготата;в;Тема 25
Зародишният период при човека завършва:;а. с раждането;б. когато оплодената яйцеклетка се превърне в зигота;в. при достигане на полова зрялост;г. около края на първата година след раждането;а;Тема 25
Как се нарича вторият период на индивидуалното развитие при човека?;а. постембрионален;б. зародишен;в. факултативен;г. органогенеза;а;Тема 25
Зародишното развитие при човека започва с:;а. органогенеза;б. гаструлация;в. дробене;г. редуциране на хромозомния набор;в;Тема 25
Мястото на първата делителна бразда върху зиготата се определя от:;а. разположението на ядрото;б. разпределението на хранителните вещества в цитоплазмата;в. количеството на жълтъка;г. точката на навлизане на сперматозоида в яйцеклетката;г;Тема 25
Бластулата е:;а. приблизително еднаква по размер със зиготата;б. значително по-голяма от зиготата;в. многослойна структура;г. по-късен стадий на развитието от гаструлата;а;Тема 25
При гаструлацията:;а. намалява синтезата на белтъци;б. се оформят зародишните пластове;в. зародишните клетки са напълно еднакви;г. се определя двустранната симетрия на тялото;б;Тема 25
Как се нарича най-външният зародишен слой?;а. мезодерма;б. ектодерма;в. хиподерма;г. ендодерма;б;Тема 25
До образуването на зачатъчни органи зародишът на човека се нарича:;а. ембрион;б. бластула;в. фетус;т. гаструла;а;Тема 25
Към органите с ендодермален произход не спада:;а. черен дроб;б. сърце;в. бял дроб;г. панкреас;б;Тема 25
Метаморфозата е характерна за:;а. риби;б. бозайници;в. птици;г. безгръбначни;г;Тема 25
Празнината, която се образува във вътрешността на зародиша при гаструлация, се нарича:;а. ендодерма;б. първично черво;в. бластомер;г. бластоцел;б;Тема 25
При стареенето:;а. увеличава се мускулната тъкан;б. нараства ензимната активност;в. дегенерира тимусът;г. се повишават защитните сили на организма;в;Тема 25
Кога се формира плацентата при човека?;а. непосредствено след загнездването на зародиша в маточната стена;б. малко преди раждането;в. в третия месец на бременността;г. в шестия месец на бременността;в;Тема 25
Клиничната смърт при човека настъпва, когато:;а. загинат невроните в главния мозък;б. настъпи биологична смърт;в. се прекратят сърдечната дейност и дишането;г. вече не могат да се възстановят жизнените функции на организма;в;Тема 25
Смъртта при човека е обратима до момента, в който:;а. спре сърдечната дейност;б. спре дишането;в. температурата на тялото спадне под 35оС;г. загинат невроните в главния мозък;г;Тема 25
Морулата се образува в резултат на:;а. дробене;б. гаструлация;в. хистогенеза;г. органогенеза;а;Тема 25
Клетъчната диференциация започва на етап:;а. бластула;б. морула;в. гаструла;г. фетус;в;Тема 25
Кои от посочените животни развиват само двупластна гаструла:;а. мешести;б. птици;в. насекоми;г. хора;а;Тема 25
Кои от посочените органи са с мезодермален произход?;а. бронхи;б. кости;в. косми;г. сетивни органи;б;Тема 25
Кой от посочените органи е с ендодермален произход?;а. хорда;б. бъбрек;в. главен мозък;г. сърце;а;Тема 25
Кой от посочените органи е с ектодермален произход?;а. черен дроб;б. бял дроб;в. панкреас;г. око;г;Тема 25
Пълна метаморфоза е характерна за:;а. скакалец;б. комар;в. жаба;г. човек;б;Тема 25
Сърдечната дейност при човека започва:;а. през първия месец;б. през втория месец;в. през третия месец;г. през четвъртия месец;а;Тема 25
Имплантирането на човешкия ембрион се осъществява на стадий:;а. морула;б. гаструла;в. бластоцист;г. фетус;в;Тема 25
Науката, занимаваща се със стареенето на организма, се нарича:;а. етиология;б. геронтология;в. копрология;г. палеонтология;б;Тема 25
Ензимите са:;а. липиди;б. въглехидрати;в. белтъци;г. киселини;в;Тема 26
Пасивната зашитна функция на белтъците се проявява при:;а. изграждането на нокти;б. мускулните движения;в. антителата;г. хемоглобина;а;Тема 26
Транспортната функция на белтъците се илюстрира с:;а. хормоните;б. хемоглобина;в. мускулите;г. антителата;б;Тема 26
Активната защитна функция на белтъците се изпълнява от:;а. антителата;б. антигените;в. хемоглобина;г. мускулите;а;Тема 26
Мономерната градивна единица на белтъците е:;а. рибонуклеинова киселина;б. дезоксирибонуклеинова киселина;в. монозахарид;г. аминокиселина;г;Тема 26
В състава на белтъците участват:;а. 22 различни вида аминокиселини;б. 20 различни вида аминокиселини;в. 18 различни вида аминокиселини;г. 8 различни вида аминокиселини;б;Тема 26
Всяка аминокиселина, изграждаща белтъците, съдържа: ;а. карбоксилна алкална и аминна киселинна групи;б. аминна алкална и карбоксилна киселинна групи ;в. две аминни и две карбоксилни групи;г. две аминни и една карбоксилна група;б;Тема 26
Пептидната връзка между аминокиселинните остатъци в полипептидната верига е: ;а. нековалентна;б. ковалентна;в. вандервалсова;г. фосфодиестерна;б;Тема 26
Полипептидните вериги на белтъците са:;а. двойноверижни;б. кръгови;в. линейни, разклонени;г. линейни, неразклонени;г;Тема 26
В началото на полипептидната верига има:;а. свободна аминна група, а в края свободна карбоксилна;б. свободна карбоксилна група, а в края свободна аминна ;в. свободна аминна група, а в края свободна хидроксилна;г. свободна карбоксилна група, а в края свободна алдехидна;а;Тема 26
Гръбнакът на полипептидните вериги е изграден от редуване на една и съща структура: ;a. -NH-CH-CO-;б. -HC-NH-CO-;в. -COO-CH-CO-;г. -NH-CH-ΝΗ-;а;Тема 26
В белтъците аминокиселинните остатъци са свързани с ковалентни връзки, при образуването на които се отделя:;а. кислород;б. озон;в. въглероден диоксид;г. вода;г;Тема 26
Връзките между аминокиселините в полипептидната верига се образуват при взаимодействието на:;а. карбоксилната група на едната аминокиселина с аминната група на следващата;б. карбоксилната група на едната аминокиселина с карбоксилната група на следващата;в. аминната група на едната аминокиселина с аминната група на следващата;г. водородната група на едната аминокиселина с аминната група на следващата;а;Тема 26
Хетеробиополимери са:;а. скорбялата;б. белтъците;в. целулозата;г. пишестето;б;Тема 26
Структурните равнища на белтъчната молекула са:;а. последователните степени на усложняване на пространственото разположение на полипептидната верига;б. различният брой аминокиселини;в. различната дължина на полипептидната верига;г. различията в гръбнака на полипептидните вериги;а;Тема 26
Първичната структура на белтъците се определя:;а. от броя, вида и подреждането на аминокиселинните остатъци в полипептидната верига;б. само от вида на аминокиселинните остатъци в полипептидната верига ;в. само от вида на нагъването на полипептидната верига в пространството;г. само от подреждането на аминокиселинните остатъци в полипептидната верига;а;Тема 26
Първичната структура на белтъка се представя във вид на:;а. линейна последователност от нуклеотидни остатъци;б. линейна последователност от аминокиселинни остатъци;в. спираловидни участъци на нуклеотидните остатъци;г. спираловидни участъци на аминокиселинни остатъци;б;Тема 26
Вторичната структура на белтъците представлява нагъване на полипептидната верига чрез:;а. ковалентни връзки;б. водородни връзки;в. стекинг взаимодействия;г. Вандерваалсови сили;б;Тема 26
Спиралната и листовидната структура на полипептидната верига определят:;а. първична структура на белтъка;б. вторична структура на белтъка;в. третична структура на белтъка;г. четвъртична структура на белтъка;б;Тема 26
Вторичната структура на белтъците представлява:;а. броя и подреждането на аминокиселинните остатъци в полипептидната верига;б. видът на аминокиселинните остатъци в полипептидната верига;в. нагъването на полипептидната верига в спирала или във вид на нагънат хартиен лист;г. само броят на аминокиселинните остатъци в полипептидната верига;в;Тема 26
Третичната структура на белтъците представлява: ;а. нагъната белтъчна молекула с регулаторни функционални центрове;б. нагъването на полипептидната верига в пространството и определяне на специфичните функции на белтъка;в. нагъването на полипептидната верига на спирала;г. денатурацията им;б;Тема 26
Активният център на глобуларния белтък се формира на ниво:;а. първична структура на белтъка;б. вторична структура на белтъка;в. третична структура на белтъка;г. четвъртична структура на белтъка;в;Тема 26
Свързването на белтъци с хормони определя тяхната:;а. транспортна функция;б. енергийна функция;в. рецепторна функция;г. регулаторна функция;в;Тема 26
Фибриларните белтъци се характеризират с:;а. изключителна здравина и еластичност;б. нестабилност на структурата си;в. изключителна здравина и липса на еластичност;г. малка дължина;а;Тема 26
Отделните полипептидни вериги в четвъртичната структура на белтъка се наричат: ;а. мономери;б. фибрили;в. вариации;г. субединици;г;Тема 26
В резултат на четвъртичната структура: ;а. белтъците денатурират;б. на повърхността на белтъчните молекули възникват регулаторни центрове;в. белтъците променят електричния си заряд;г. полипептидните вериги се нагъват в равномерна спирала;б;Тема 26
Денатурацията е процес, при който:;а. белтъците променят електричния си заряд;б. броят на аминокиселинните остатъци се променя;в. полипептидните вериги се нагъват в равномерна спирала;г. пространствената структура на белтъка се нарушава;г;Тема 26
Ренатурацията е процес, при който:;а. пространствената структура на белтъка се нарушава;б. се възстановява изходната пространствена структура на белтъка;в. глобуларните белтъци променят електричния си заряд;г. каталитичната активност на белтъка намалява;б;Тема 26
Глобуларните белтъци не притежават:;а. силно нагъната структура;б. нуклеозомна структура;в. активен център;г. разтворимост във вода;б;Тема 26
Хемоглобинът е сложен белтък, който се получава от свързването на белтъчна, небелтъчна съставка и:;а. мед;б. желязо;в. липид;г. въглехидрат;б;Тема 26
Пространствената структура, свойствата и биологичните функции на белтъците се определят от:;а. нуклеозомната структура;б. нуклеиновата структура;в. рибонуклеиновата структура;г. първичната структура;г;Тема 26
Активният център - малка част от повърхността на белтъчните молекули, се формира на равнището на:;а. първична структура;б. вторична структура;в. третична структура;г. четвъртична структура;в;Тема 26
Регулаторните центрове възникват на ниво:;а. първична структура;б. вторична структура;в. третична структура;г. четвъртична структура;г;Тема 26
Кои химични връзки не се разкъсват при денатурация?;а. водородни;б. пептидни;в. слаби;г. йонни;б;Тема 26
Ензимите се свързват с реагиращите вещества, които се наричат:;а. катализатори;б. сурогати;в. субстрати;г. продукти;в;Тема 26
Каталитична функция притежават:;а. рибозоми;б. рибозими;в. сурогати;г. субстрати;б;Тема 26
Субстрати са вещества:;а. с които ензимите се свързват и реагират;б. в които се превръщат ензимите;в. които се свързват с продуктите;г. с които ензимите не реагират;а;Тема 26
Чрез активния си център ензимите:;а. изпълняват каталитичната си функция;б. изпълняват транспортната си функция;в. променят формата си;г. променят структурата си;а;Тема 27
Взаимодействието между ензима и субстрата се характеризира с:  ;а. ниска специфичност  ;б. висока специфичност  ;в. огромен енергиен разход  ;г. образуване в повечето случаи на неразрушими ковалентни връзки  ;б;Тема 27
Съответствието между ензима и субстрата се оприличава с:  ;а. чук и наковалня  ;б. пасването между ключалка и ключ  ;в. часовников механизъм  ;г. катинар и врата  ;б;Тема 27
Ензимите:  ;а. са изградени винаги от една полипептидна верига  ;б. винаги притежават четвъртична структура  ;в. понякога са двукомпонентни - могат да имат и небелтъчна част  ;г. винаги са еднокомпонентни - изградени само от полипептидни вериги  ;в;Тема 27
Ензимите:  ;а. са винаги двукомпонентни  ;б. не променят скоростта на химичната реакция  ;в. не променят посоката на химичната реакция  ;г. се изчерпват по време на реакциите  ;в;Тема 27
Кофакторите:  ;а. са неорганични съединения  ;б. по химична природа са монозахариди  ;в. се включват в регулаторния участък на ензима  ;г. са витамини и техни производни ;а;Тема 27
Един коензим обикновено е:  ;а. небелтъчната съставка на няколко ензима със сходна функция  ;б. белтъчната съставка на един единствен белтък  ;в. небелтъчната съставка на един единствен белтък  ;г. белтъчната съставка на няколко ензима със сходна функция  ;а;Тема 27
Максимална скорост на ензимна реакция се достига, когато:  ;а. всички активни центрове на ензима са наситени със субстратни молекули  ;б. много малко активни центрове са наситени със субстратни молекули  ;в. половината от активните центрове са наситени със субстратни молекули  ;г. почти всички активни центрове са наситени със субстратни молекули;а;Тема 27
За всеки ензим съществуват определена температура и киселинност, които са най-благоприятни за действието му. Те се наричат:  ;а. минимални  ;б. задоволителни  ;в. конкретни  ;г. оптимални;г;Тема 27
Веществата, които намаляват ензимната активност, се наричат:  ;а. активатори;б. инхибитори;в. забавители;г. намалители;б;Тема 27
Веществата, които увеличават ензимната активност, се наричат:  ;а. активатори;б. увеличители;в. ускорители;г. инхибитори;а;Тема 27
Конкурентни инхибитори са вещества, които:  ;а. превръщат субстрата в продукт;б. се свързват обратимо с активния център на ензимите;в. нямат структурна прилика със субстрата;г. усилват ензимната активност;б;Тема 27
Лекарства от групата на нестероидните противовъзпалителни средства като аспирин действат като:;а. конкурентни инхибитори на ензими;б. конкурентни субстрати;в. заменят продуктите на ензимното действие;г. увеличават количеството на субстрата;а;Тема 27
Ковалентното модифициране като вид регулация на ензимната активност:;а. се подчинява на принципа на обратната връзка;б. е израз на промени в концентрацията на междинните или крайните продукти на метаболитната верига;в. изисква най-дълго време;г. е по-бавен механизъм от алостеричната регулация;г;Тема 27
Кой от следните механизми за регулация на ензимната активност изисква най-дълго време?;а. алостерична регулация;б. регулация чрез промяна в количеството на ензима;в. няма верен отговор;г. ковалентно модифициране;б;Тема 27
Изомеразите като клас ензими:;а. свързват две молекули;б. имат окислително-редукционна функция;в. пренареждат атоми в молекулата;г. пренасят функционални групи;в;Тема 27
Лигазите като клас ензими:;а. свързват две молекули;б. имат окислително-редукционна функция;в. пренареждат атоми в молекулата;г. пренасят функционални групи;а;Тема 27
Нагъването на полипептидните вериги на белтъците се поддържа главно от:;а. ковалентни връзки;б. нековалентни полярни връзки;в. фосфодиестерни връзки;г. пептидни връзки;б;Тема 27
Скоростта на ензимната реакция е пропорционална на:;а. броя на алостеричните центрове;б. големината на алостеричния център;в. броя на регулаторните центрове;г. концентрацията на субстрата до определена граница;г;Тема 27
Повечето ензими са активни в среда с рН около:  ;а. 7;б. 5;в. 9;г. 3;а;Тема 27
Чувствителността на ензимите към факторите на средата и към действието на различни вещества се дължи на:;а. големината им;б. химичните им връзки;в. белтъчната им природа;г. регулаторните им центрове;в;Тема 27
Скоростта на ензимната реакция остава постоянна:;а. при достигане на максимална стойност;б. по време на цялата реакция;в. само в края на реакцията;г. когато реагиращите вещества са в излишък;а;Тема 27
Нуклеиновите киселини са:;а. линейни, неразклонени полимери;б. линейни, разклонени полимери;в. линейни, разклонени мономери;г. линейни, неразклонени мономери;а;Тема 28
Към хетеробиополимерите се отнасят:;а. монозахаридите и белтъците;б. нуклеиновите киселини и белтъците;в. белтъците и липидите;г. нуклеиновите киселини и липидите;б;Тема 28
Мономерите на нуклеиновите киселини са:;а. по-сложни от тези на белтъците;б. същите като тези на белтъците;в. подобни на тези на белтъците;г. по-прости от тези на белтъците;а;Тема 28
Мономери на нуклеиновите киселини са:;а. нуклеидите;б. нуклеотидите;в. нуклеозомите;г. нуклеопротеидите;б;Тема 28
Мономерите на нуклеиновите киселини се състоят от свързани остатъци на:;а. монозахарид, азотна база и фосфорна киселина;б. дизахарид, азотна база и фосфорна киселина;в. монозахарид, голяма база и фосфорна киселина;г. монозахарид, малка база и фосфорна киселина;а;Тема 28
Киселинните свойства на нуклеиновите киселини се дължат на:;а. хидроксилна група;б. аминна група;в. фосфорната киселина;г. карбоксилна група;в;Тема 28
В изграждането на нуклеотидите участват:;а. два вида монозахариди от по 5 въглеродни атома;б. три вида монозахариди от по 5 въглеродни атома;в. два вида монозахариди от по 6 въглеродни атома;г. три вида монозахариди от по 6 въглеродни атома;а;Тема 28
В структурата на нуклеотидите:;а. един С-атом се свързва с фосфатния остатък, а друг - с азотната база;б. фосфатният остатък и азотната база са свързани за един и същи С-атом;в. азотната база и фосфатният остатък са свързани помежду си;г. азотната база се свързва с С-атом, а фосфатният остатък - с О-атом;а;Тема 28
Азотната база и пентозата заедно образуват междинна структурна единица, наречена:;а. нуклеозид;б. нуклеозома;в. нуклеотид;г. нуклеоид;а;Тема 28
В нуклеотидите азотната база и пентозата са свързани:;а. при втория С-атом;б. с нековалентна връзка;в. чрез стекинг-взаимодействия;г. с N-гликозидна връзка;г;Тема 28
Нуклеотидите са:;а. нуклеозид-дифосфати;б. нуклеозид-трифосфати;в. нуклеоид-монофосфат;г. нуклеозид-монофосфати;г;Тема 28
Нуклеотидите се свързват чрез:;а. пептидни връзки;б. фосфодиестерни връзки;в. гликозидни връзки;г. водородни връзки;б;Тема 28
Азотните бази биват:;а. само големи;б. големи, малки и средни;в. големи и малки;г. с еднакъв размер;в;Тема 28
Към малките бази не се отнася:;а. тимин;б. урацил;в. аденин;г. цитозин;в;Тема 28
Към пиримидиновите бази не се отнася:;а. аденин;б. урацил;в. тимин;г. цитозин;а;Тема 28
Пиримидиновите бази се състоят от:;а. един 6-атомен пръстен;б. два 6-атомни пръстена;в. един 5-атомен пръстен;г. два 5-атомни пръстена;а;Тема 28
Пуриновите бази се състоят от:;а. един 6-атомен и два 5-атомни пръстена;б. един 6-атомен и един 5-атомен пръстен;в. два 5-атомни и един 6-атомен пръстен;г. два 6-атомни и два 5-атомни пръстена;б;Тема 28
Към малките бази не се отнася:;а. гуанин;б. цитозин;в. тимин;г. урацил;а;Тема 28
При свързването на нуклеотидите се отделя:;а. кислород;б. въглероден диоксид;в. вода;г. водород;в;Тема 28
Азотната база урацил участва:;а. само в ДНК;б. само в РНК;в. в ДНК и в РНК;г. само понякога в РНК;б;Тема 28
Азотната база тимин участва:;а. само в ДНК;б. само в РНК;в. в ДНК и в РНК;г. само понякога в РНК;а;Тема 28
Азотната база аденин участва:;а. само в ДНК;б. само в РНК;в. в ДНК и в РНК;г. само понякога в РНК;в;Тема 28
При изграждане на двойната спирала на ДНК се свързват базите:;а. аденин с цитозин;б. гуанин с тимин;в. аденин с урацил;г. цитозин с гуанин;г;Тема 28
Захарофосфатният скелет на НК е изграден от:;а. базите и фосфатните остатъци;б. базите, фосфатните остатъци и монозахаридите;в. фосфатните остатъци и монозахаридите;г. базите и монозахаридите;в;Тема 28
Посоката на полинуклеотидната верига зависи от това, че на единия й край има:;а. сулфатен остатък, а на другия хидроксилна група;б. фосфатен остатък, а на другия аминогрупа;в. фосфатен остатък, а на другия - хидроксилна група;г. рибозен остатък, а на другия - хидроксилна група;в;Тема 28
За начало на полинуклеотидната верига са приема:;а. фосфатният остатък;б. хидроксилната група;в. аминогрупата;г. базата;а;Тема 28
За край на полинуклеотидната верига са приема:;а. фосфатният остатък;б. хидроксилната група;в. аминогрупата;г. базата;б;Тема 28
Разнообразието на НК се определя от подреждането на:;а. монозахаридите и фосфатните остатъци;б. монозахаридите;в. базите;г. фосфатните остатъци;в;Тема 28
