Стомашният смилателен сок съдържа:;а. пепсин;б. пектин;в. амилаза;г. малтаза;а
В стомашния сок се съдържа:;а. сярна киселина;б. солна киселина;в. оцетна киселина;г. натриева основа;б
В структурата на стомашната стена е включен:;а. слой от напречно набраздени мускулни влакна;б. слой от ресничест епител;в. слой от гладка мускулатура;г. слой от плътна съединителна тъкан;в
Пепсинът се образува от:;а. черния дроб;б. задстомашната жлеза;в. надбъбречната жлеза;г. лигавицата на стомаха;г
Перисталтиката се характеризира с:;а. отпускането на мускулните влакна в областта на сфинктерите;б. последователните съкращения и отпускания на гладките мускулни влакна в стените на стомаха и червата ;в. постоянния мускулен тонус на гладките мускулни влакна в стомаха червата;г. нито едно от посочените;б
Тънкото черво е с дължина:;а. 70 см;б. 1-2 метра;в. 3-4 метра;г. 5-7 метра;г
Началната част на тънкото черво се нарича:;а. апендикс;б. сфинктер;в. дванадесетопръстник;г. нито едно от посочените;в
В дванадесетопръстника се излива(т):;а. секретът на задстомашната жлеза и жлъчния сок;б. единствено стомашното съдържимо;в. единствено жлъчен сок;г. секретът само на задстомашната жлеза;а
Кое твърдение е вярно?;а. ензимът липаза разгражда мазнините до мастни киселини и глицерол;б. въглехидратите се разграждат от ензима липаза до прости захари;в. ензимът трипсин разгражда въглехидратите до прости захари;г. амилазата разгражда белтъците до по-малки молекули;а
Сокът на задстомашната жлеза е:;а. алкален;б. кисел;в. силно кисел;г. неутрален;а
Сокът в стомаха е:;а. алкален;б. силно алкален;в. кисел;г. неутрален;в
Коя е най-голямата жлеза в човешкия организъм?;а. черен дроб;б. задстомашна жлеза;в. щитовидна жлеза;г. нито една от изброените;а
Черният дроб се намира:;а. в дясната част на коремната кухина, до стомаха;б. в лявата част на коремната кухина, до стомаха;в. под задстомашната жлеза в дясната част на коремната кухина;г. под задстомашната жлеза в лявата част на коремната кухина;а
Черният дроб образува:;а. жлъчен сок;б. чернодробен сок;в. стомашен сок;г. инсулин;а
Жлъчният сок съдържа:;а. ензими;б. жлъчни киселини;в. ензими и жлъчни киселини;г.ензими и жлъчни пигменти;б
Кое от твърденията за власинките на чревния епител не е вярно?;а. изградени са от епителни клетки, съединителна тъкан и мускулни влакна;б. могат да се съкращават и отпускат;в. секретират трипсин;г. всмукват вещества, които преминават през епителните клетки и попадат в кръвоносните съдове;в
Дебелото черво е дълго около:;а. 5-7м;б. 1,5м;в. Зм;г. 2,5м;б
В дебелото черво се всмукват:;а. вода и соли;б. белтъчини и въглехидрати;в. мазнини;г. белтъчини и мазнини;а
Перисталтични движения не извършват:;а. тънкото черво;б. дебелото черво;в. стомахът;г. сфинктерите на храносмилателната система;г
Трипсинът се секретира от:;а. чревната лигавица;б. задстомашната жлеза;в. стомашната лигавица;г. черния дроб;б
Храносмилането приключва напълно в:;а. апендикса;б. дебелото черво;в. тънкото черво;г. дванадесетопръстника;в
Най-голямото разширение на храносмилателната тръба е:;з. апендикса;б. стомаха;в. дебелото черво;г. тънкото черво;б
Посочете вярното твърдение за белите дробове:;а. десният бял дроб е по-малък от левия;б. от белите дробове излизат бронхите;в. в белите дробове влизат белодробните вени;г. върховете им се издават над ключиците;г
Посочете грешното твърдение за трахеята:;а. тя е образувана от хрущялни полупръстени;б. отвътре е покрита с ресничест епител;в. тя е образувана от плътно сраснали помежду си хрущялни полупръстени;г. тя с тръба, която стои постоянно отворена;в
Бронхиалното дърво е изградено от:;а. гръкляна, бронхите и белия дроб;б. гръкляна, гълтача, бронхиолите;в. ларинкса, бронхите и бронхиолите;г. трахеята, бронхите и бронхиолите;г
За щитовидния хрущял е вярно, че:;а. се намира се между носна кухина и гълтач;б. е по-силно изпъкнал при мъжете;в. е изграден е от хрущяли и лигавица с плосък епител;г. е част от структурата на гълтача;б
Алвеолите са:;а. изградени от два слоя ресничест епител;б. структурна единица на трахеята;в. покрити с гъста мрежа от кръвоносни съдове;г. в трахейната кухина;в
Гласовите връзки се намират:;а. в гълтача;6. между гръкляна и трахеята;в. в гръкляна;г. в трахеята;в
Към дихателната система не се отнасят:;а. горната част на гръкляна;б. горната част на хранопровода;в. горната част на гълтача;г. горната и средната част на гръкляна;б
Алвеоларните стени са изградени от:;а. мускулни клетки;б. нервни клетки;в. епителни клетки;г. жлези с вътрешна секреция;в
Гласът се формира от:;а. трептенията на гласовите връзки, в резултат от преминаващия при издишване въздух;б. трептенията на гласовите връзки, в резултат от преминаващия при вдишване въздух;в. преминаващия въздух по надгръклянника;г. при навлизането на въздуха в алвеолите;а
Ролята на надгръклянника се състои в това, че:;а. затваря входа на гръкляна;б. взема участие във формирането на гласа;в. затваря входа на хранопровода;г. свързва трахеята с гръкляна;а
За белите дробове не е вярно твърдението, че:;а. основата им лежи върху диафрагмата;б. в тях влизат бронхите;в. в тях навлизат нерви;г. върховете им се издигат на 10-12 см над ключицата;г
Вдишването е:;а. пасивен процес, резултат от отпускането на междуребрените мускули и диафрагмата;б. процес, подчинен единствено на съкращения на междуребрените мускули;в. пасивен процес, при който се съкращават междуребрените мускули и диафрагмата;г. активен процес, резултат от съкращението на междуребрените мускули и диафрагмата;г
Терминът жизнена вместимост представлява:;а. максималния обема на издишания до край въздух след максимално вдишване;б. обема на вдишания въздух в покой;в. обема на издишания въздух в покой;г. обема на вдишания въздух при голяма надморска височина;а
Броят дихателни движения, които човек извършва за минута, се характеризират с термина:;а. дихателна честота;б. газов обмен на насищане;в. жизнена вместимост;г. дихателно-рефлексен ритъм;а
Бъбреците не отделят в урината:;а. урея;б. пикочна киселина;в. амоняк;т. жлъчни киселини;г
Бъбреците не участват в:;а. поддържането на хомеостазата;б. отделянето на излишната вода и минерални соли;в. поддържането на нормално кръвно налягане;г. разграждането на мазнините;г
Мастната капсула на бъбрека служи за:;а. защита от удари и сътресения;б. образуване на първичната урина;в. образуване на вторичната урина;г. поддържане на неговите входящи и изходящи кръвоносни съдове;а
От вдлъбнатината в средата на бъбрека излиза:;а. бъбречна артерия;б. капиляр;в. бъбречна вена;г. Артериола;в
Бъбреците са разположени върху задната коремна стена на нивото на:;а. последния гръден и първия (втория) поясен прешлен;б. гръдните прешлени;в. поясните прешлени;г. опашните прешлени;а
В бъбрека навлиза(т):;а. бъбречната вена.;б. бъбречната артерия.;в. аортата.;г. венечните артерии.;б
Бъбречните пирамиди са обърнати с основата си към:;а. бъбречното легенче;б. кората;в. пикочния мехур;г. пикочния канал;б
Основната структурна единица на бъбреците е:;а. невронът;б. нефронът;в. алвеолата;г. Артериолата;б
Нефронът е микроскопично:;а. тръбесто образувание;б. сферично образувание;в. овално образувание;г. звездовидно образувание;а
Общият брой на нефроните в бъбрека е над:;а. 100 хиляди;б. 500 хиляди;в. 7 милиона;г. 2 милиона;г
В кой от органите на отделителната система е разположен кръгов мускул (сфинктер)?;а. бъбреци;б. пикочопроводи;в. пикочен мехур;г. пикочен канал;г
Пикочният мехур е орган с:;а. регулаторна функция;б. резервоарна функция;в. транспортна функция;г. кръвотворна функция;б
При филтрацията през стените на капилярите на клъбцето в извитото каналче преминават:;а. вещества с малка молекулна маса;б. вещества със средна молекулна маса;в. вещества с голяма молекулна маса;г. молекулната маса не е от значение;а
През стената на бъбречното каналче, в урината се секретират:;а. амоняк и някои лекарства;б. соли и вода;в. въглехидрати;г. Белтъци;а
Каква зависимост съществува между кръвното налягане и обема на отделената урина?;а. повишено кръвно налягане - повишено количество урина;б. повишено кръвно налягане - понижено количество урина;в. ниско кръвно налягане - повишено количество урина;г. не съществува зависимост между тях;а
Обратното всмукване на вода се регулира чрез:;а. един от хормоните на хипофизата;б. хормон на тимуса;в. един от хормоните на щитовидната жлеза;г. един от хормоните на задстомашната жлеза;а
Образуването на урина се регулира главно чрез:;а. феромони;б. антитела;в. хормони;г. Ензими;в
Възпалителното увреждане на нефроните се нарича:;а. гломерулонефрит;б. цистит;в. уретрит;г. Пиелонефрит;а
Възпалителното увреждане на бъбречното легенче и пикочните пътища се нарича:;а. цистит;б. гломерулонефрит;в. пиелонефрит;г. Катар;в
Профилактиката на бъбречните болести не включва:;а. предпазване от инфекциозни болести и простуда;б. приемане на повече течности и здравословно хранене;в. закаляване и лична хигиена;г. избягване на задимени и запрашени помещения;г
Кое от изброените по-долу не предизвиква цистит?;а. бактериална инфекция;б. лоша хигиена;в. неправилен режим на хранене;г. Простуда;в
Бактериалната инфекция не е причина за възникване на:;а. пиелонефрит;б. камъни в бъбреците;в. уретрит;г. Цистит;б
Възпалението на пикочния мехур се нарича:;а. гломерулонефрит;б. цистит;в. уретрит;г. Пиелонефрит;б
Възпалението на пикочния канал се нарича:;а. гломерулонефрит;б. цистит;в. уретрит;г. Пиелонефрит;в
При болни с тежки увреждания на бъбреците, свързани със силно влошаване на функцията им, се налага периодично:;а. контрацепция;б. ЕКГ;в. скенер;г. Хемодиализа;г
Най-успешна е бъбречната трансплантация между:;а. непознати;б. близки роднини;в. далечни роднини;г. Познати;б
Една от най-успешните е:;а. трансплантацията на черен дроб;б. трансплантацията на сърце;в. трансплантацията на бъбрек;г. трансплантацията на бял дроб;в
Нормално, първичната урина не съдържа:;а. вода и минерални соли;б. глюкоза и аминокиселини;в. урея;г. Белтъци;г
Обратното всмукване се извършва през стената на:;а. събирателното каналче на нефрона;б. извитото каналче на нефрона;в. капсулата на нефрона;г. кората на бъбрека;б
Нормално крайната урина съдържа:;а. вода;б. ензими;в. белтъци;г. въглехидрати;а
Обемът на крайната урина за 24 часа възлиза на около:;а. половин литър;б. четири литра;в. литър и половина;г. три литра;в
В структурата на нефрона не влиза:;а. капилярното клъбце;б. извитото каналче;в. бъбречното легенче;г. Капсулата;в
В нефрона не се извършва:;а. филтрация;б. обратно всмукване;в. разграждане;г. Секреция;в
Филтрацията на кръвната плазма през стената на капилярите на гломерула в капсулата се осъществява благодарение на:;а, по-високото кръвно налягане в клъбцето;б. по-ниското кръвно налягане в клъбцето;в. кръвното налягане не е свързано с филтрацията;г. други фактори имат определяща роля при филтрацията;а
Първична урина се образува в резултат на:;а. асимилация;б. филтрация;в. секреция;г. обратно всмукване;б
Отделен от хипофизата хормон:;а. понижава обратното всмукване на вода в извитото каналче;б. повишава обратното всмукване на вода в извитото каналче;в. повишава обратното всмукване на соли в извитото каналче;г. не влияе на процесите в извитото каналче;б
Вторичната урина на здрав човек не съдържа:;а. вода;б. урея;в. соли;г. глюкоза;г
При бъбречна криза не се наблюдава:;а. висока температура и втрисане;б. често уриниране съпроводено с парене и тъмна урина;в. болки в кръста;г. хрема, кашлица, болки в мускулите;г
Основната роля на бъбреците се свежда до поддържането на:;а. сърдечната дейност;б. дишането;в. храносмилането;г. Хомеостазата;г
На какво се дължи по-високото кръвно налягане в клъбцето?;а. на по-широката входяща артериола от изходящата;б. на по-широката изходяща артериола от входящата;в. на еднаквия диаметър на двете артериоли;г. на филтрацията;а
Посочете как се нарича вътрешния слой на сърцето:;а. ендокард;б. епикард;в. миокард;г. Перикард;а
Посочете как се нарича средния слой на сърцето:;а. ендокард;б. епикард;в. миокард;г. Перикард;в
В дясното предсърдие се влива(т):;а. 4 белодробни вени;б. белодробна артерия;в. горна и долна куха вена;г. Аорта;в
От дясната камера излиза(т):;а. горна и долна куха вена;б. аорта;в. четири белодробни вени;г. белодробна артерия;г
В лявото предсърдие се влива(т):;а. горна и долна куха вена;б. аорта;в. 4 белодробни вени;г. белодробна артерия;в
От лявата камера излиза(т):;а. четири белодробни вени;б. белодробна артерия;в. горна и долна куха вена;г. Аорта;г
Посочете къде е най-голяма дебелина на миокарда:;а. дясната камера;б. лява камера;в. дясно предсърдие;г. ляво предсърдие;б
В белодробната артерия тече:;а. артериална кръв;б. венозна кръв;в. кръв, богата на кислород;г. Лимфа;б
Каква кръв тече в белодробните вени?;а. венозна кръв;б. артериална кръв;в. кръв богата на въглероден двуокис;г. Лимфа;б
Посочете от къде започва големият кръг на кръвообращението:;а. дясната камера;б. лявата камера;в. ляво предсърдие;г. дясно предсърдие;б
Посочете от къде започва малкият кръг на кръвообращението:;а. дясната камера;б. лявата камера;в. ляво предсърдие;г. дясно предсърдие;а
Как се нарича съкращаването на миокарда?;а. систола;б. диастола;в. пауза;г. ударен обем;а
Как се нарича отпускането на сърдечния мускул?;а. пауза;б. систола;в. ударен обем;г. Диастола;г
Къде е най-голямо артериално налягане?;а. в белодробната артерия;б. в аортата;в. в горна куха вена;г. в долна куха вена;б
Съгласуваната последователност от систола и диастола определят:;а. кръвообращението;б. сърдечния цикъл;в. съкращението;г. Проводимостта;б
Клетките участващи в изграждането на възбудно-проводната система са:;а. мускулни;б. нервни;в. съединително-тъканни;г. Епителни;а
Количеството изтласкана кръв от камерите при една систола се нарича:;а. ударен обем;б. минутен обем;в. систоличен обем;г. секундарен обем;а
Кои от посочените органи в човешкия организъм не могат да бъдат причислени към така наречените кръвни депа?;а. слезка;б. черен дроб;в. бели дробове;г. Бъбреци;г
Според нуждите на организма, кръвообращението се регулира чрез:;а. ензими, разнасяни с лимфата;б. витамини, разнасяни с кръвта;в. аминокиселини, разнасяни с кръвта;г. импулси от централната нервна система и хормони, разнасяни с кръвта;г
Лимфата:;а. се образува от тъканна течност, която е филтрат на кръвната плазма;б. се движи по лимфни капиляри, които се изливат в долната куха вена;в. се придвижва бързо и на тласъци, съвпадащи с ударите на сърцето;г. се образува в лимфните възли;а
В понятието вътрешната течна среда се включват:;а. тъканната течност и лимфата;б. кръвта, лимфата и тъканната течност;в. лимфата и кръвния серум;г. кръвния серум;б
Кръвта се състои от:;а. червени и бели кръвни клетки и кръвни плочици;б. кръвна плазма, червени и бели кръвни клетки и кръвни плочици;в. кръвна плазма, червени и бели кръвни клетки;г. кръвен серум илимфа;б
Лимфата се състои от:;а. лимфоцити и течност близка по състав до кръвната плазма;б. лимфоцити, тромбоцити и течност;в. еритроцити и лимфоцити;г. течност близка по състав до кръвната плазма, лишена от клетки;а
Кое не се отнася до тъканната течност?;а. осигурява връзката на кръвта с клетките;б. получава се в следствие на филтрирането на кръвната плазма през стените на капилярите;в. намира се в междуклетъчното пространство;г. съдържа 55% кръв, фибриноген и серум;г
Кръвната плазма съставлява:;а. 55% от кръвта;б. 20% от кръвта;в. 70% от кръвта;г. 85% от кръвта;а
Кръвната плазма съдържа:;а. 90-92% вода и 8% органични вещества;б. 70-72% вода и 28% органични вещества;в. 40-42%вода и 18% органични вещества;г. 20% вода и 80% органични вещества;а
В основата на съсирването стои:;а. превръщането на белтъка фибрин във фибриноген;б. превръщането на белтъка фибриноген във фибрин;в. слепването на левкоцитите и еритроцитите;г. слепването на левкоцитите и тромбоцитите;б
Кръвен серум се нарича:;а. кръвна плазма с еритроцити;б. кръвна плазма, лишена от фибриноген;в. кръвна плазма с фибриноген;г. кръвна плазма с фибрин и фибриноген;б
Съсирек се образува от:;а. кръвни клетки и калиеви йони;б. фибрин, кръвни клетки и калиеви Йони;в. кръвни клетки и калциеви Йони;г. фибрин, кръвни клетки и калциеви йони;г
Червените кръвни клетки са:;а. тромбоцити;б. еритроцити;в. фагоцити;г. Левкоцити;б
Белите кръвни клетки са:;а. еритроцити;б. фагоцити;в. левкоцити;г. Тромбоцити;в
Тромбоцитите са:;а. вид лимфоцити;б. вид фагоцити;в. вид левкоцити;г. малки късчета от големи клетки;г
Кои кръвни клетки имат двойно вдлъбната форма?;а. кръвни плочици;б. еритроцити;в. левкоцити;г. Фагоцити;б
Кои кръвни клетки са безядрени?;а. еритроцити;б. фагоцити;в. левкоцити;г. Моноцити;а
Кръвният серум се различава от кръвната плазма по липсата на:;а. хепарин;б. антитела;в. фибриноген;г. Хемоглобин;в
Лица от кръвна група А:;а. не притежават антитела;б. притежават алфа антитела;в. притежават бета плазмен белтък;г. притежават алфа и бета антитела;в
Лица от кръвна група А притежават:;а. антиген 0;б. антиген А;в. антиген В;г. алфа антитела;б
Лица от кръвна група В притежават:;а. не притежават антитела;б. алфа плазмен белтък;в. бета антитела;г. алфа и бета антитела;б
Лица от кръвна група В:;а. не притежават антигени;б. притежават антиген А;в. притежават антиген В;г. притежават бета плазмени белтъци;в
Лица от кръвна група 0:;а. не притежават белтъци α и β;б. не притежават белтъци β;в. притежават плазмен белтък α и β;г. не притежават белтъци α;в
Лица с кръвна група АВ:;а. притежават само антиген А;б. притежават само антиген В;в. притежават антигени А и В;г. нямат антигени;в
Лица с кръвна група АВ:;а. притежават антигени А и В;б. притежават антителата алфа и бета;в. са универсални дарители;г. не притежават антигени;а
Резус положителните лица:;а. притежават плазмен белтък срещу резус фактора;б. притежават по еритроцитите си резус фактор;в. притежават и резус антитела и резус антигени;г. не притежават резус антигени;б
При продължителен престой на голяма надморска височина се увеличава броят на:;а. еритроцити;б. фагоцити;в. левкоцити;г. Тромбоцити;а
При инфекция в организма нараства броя на:;а. еритроцити;б. кръвни плочици;в. левкоцити;г. Тромбоцити;в
Фибриногенът е белтък, свързан с процеса:;а. кръвосъсирване;б. кръвопреливане;в. трансплантация;г. Съкращение;а
Процесът хемолиза се характеризира с:;а. разрушаването на еритроцитната мембрана;б. поглъщането и разграждането на белтъците в клетката;в. увеличаване количеството на тромбоцитите;г. увеличаване количеството на левкоцитите;а
Посочете вярното твърдение:;а. кръвните клетки заемат около 25 % от обема на кръвта;б. кръвните клетки заемат около 45 % от обема на кръвта;в. кръвните клетки заемат около 65 % от обема на кръвта;г. кръвните клетки заемат около 85 % от обема на кръвта;б
Кои от изброените са кръвни клетки?;а. еритроцити;б. глиални клетки;в. хепатоцити;г. Адипоцити;а
Във връзка с функцията която изпълняват, еритроцитите трябва да притежават:;а. малки размери и да са много на брой;б. големи размери и да са малко на брой;в. малки размери и да са малко на брой;г. големи размери и да са много на брой;а
При човека еритроцитите са:;а. без ядро и без цитоплазмени органели;б. с ядро и без цитоплазмени органели;в. без ядро и с цитоплазмени органели;г. с ядро и с цитоплазмени органели;а
Формата на еритроцитите при човека е:;а. сферична;б. неправилна;в. двойно вдлъбнат диск;г. Овална;в
Преобладаващата субстанция в еритроцитите е:;а. актив;б. фибрин;в. хемоглобин;г. Албумин;в
Карбаминохемоглобинът се разгражда в белите дробове до:;а. хемоглобин и въглероден диоксид;б. хемоглобин и кислород;в. хемоглобин и амоняк;г. хемоглобин и вода;а
Хемоглобинът е белтък съдържащ:;а. магнезиев йон;б. калциев йон;в. натриев йон;г. железен йон;г
Съединението на кислорода с хемоглобина се нарича:;а. оксихемоглобин;б. карбаминохемоглобин;в. цианхемоглобин;г. Карбоксихемоглобин;а
Артериалната кръв съдържа:;а. оксихемоглобин и има алено червен цвят;б. карбаминохемоглобин и има алено червен цвят;в. карбоксихемоглобин и има алено червен цвят;г. оксихемоглобин и има винено червен цвят;а
Основната функция на еритроцитите е:;а. пренос на кислород и въглероден диоксид;б. пренос на кислород и въглероден оксид;в. пренос на кислород и вода;г. пренос на кислород и водород;а
Съединението карбоксихемоглобин се образува при свързване на хемоглобин с:;а. въглероден диоксид;б. азотен оксид;в. въглероден оксид;г. Кислород;в
Цветът на венозната кръв е:;а. алено червен;б. винено червен;в. карминено червен;г. Пурпурен;б
Основната функция на еритроцитите се свежда до транспорт на:;а. хранителни вещества;б. минерални соли;в. газове;г. Хормони;в
Еритроцитите се образуват в:;а. костния мозък;б. гръбначния мозък;в. малкия мозък;г. жълтия костен мозък;а
Нормалният брой еритроцити в един кубически милиметър кръв в човешкия организъм възлиза приблизително на:;а. 1 милион в един куб. милиметър кръв;б. 2 хиляди в един куб. милиметър кръв;в. 4 хиляди в един куб. милиметър кръв;г. 5 милиона в един куб. милиметър кръв;г
Общата повърхност на еритроцитите превишава приблизително:;а. два пъти повърхността на човешкото тяло;б. 5 пъти повърхността на човешкото тяло;в. 1500 пъти повърхността на човешкото тяло;г. 5 хиляди пъти повърхността на човешкото тяло;в
Приемът на кои храни оказва влияние върху образуването на еритроцити?;а. съдържащи въглехидрати и витамин С;б. съдържащи желязо и витамин В12;в. съдържащи мазнини и витамин А;г. съдържащи магнезий и витамин D;б
Средният живот на еритроцитите е около:;а. 3 месеца;б. 4 месеца;в. 100 дни;г. 150 дни;б
Разрушаването на еритроцитите се извършва в:;а. черния дроб и слезката;б. стомаха и слезката;в. бъбреците и черния дроб;г: белия дроб;а
Най-чувствителен орган към недостиг на кислород е:;а. черният дроб;б. мозъкът;в. бъбреците;г. Сърцето;б
Ако човек е от кръвна група АВ, на хора от коя кръвна група може да стане кръводарител?;а А;б. В;в. 0;г. АВ;г
Ако човек е от кръвна група 0, от хора с коя кръвна група може да приеме кръв?;а А;б. В;в. 0;г. АВ;в
Хора с кръвна група В са донори и реципиенти за:;а донори за В и АВ, реципиенти от В и 0;б. донори за 0 и реципиенти от АВ;в. донори за А и АВ и реципиенти от 0 и В;г. донори за В и АВ и реципиенти от АВ;а
Хора с кръвна група А са донори и реципиенти за:;а. донори за А и АВ, реципиенти от А и 0;б. донори за АВ и 0 и реципиенти от А;в. донори за А и АВ и реципиенти от В;г. донори за 0 и реципиенти от А и В;а
Кой от факторите на еритроцитите взаимодейства специфично с някои белтъци на кръвната плазма:;а алфа с А;б. алфа с В;в. В с А;г. алфа с 0;а
Кръвната група се:;а. унаследява;б. придобива се в хода на постембрионалното развитие;в. променя се по време на индивидуалното развитие;г. не се унаследява;а
Специфичното взаимодействие на факторите на еритроцитите с белтъците на кръвната плазма се характеризира като:;а, преципитация;б. аглутинация;в. съсирване;г. Хемолиза;б
Конфликт майка - плод се наблюдава в случай, че:;а. майката с резус отрицателна, плодът е резус положителен;б. майката е резус положителна, плодът е резус отрицателен;в. майката е резус отрицателна, плодът е резус отрицателен;г. майката е резус положителна, плодът е резус положителен;а
Броят на левкоцитите в 1 куб. милиметър кръв на здрав човек варира между:;а. от 4 до 10 хиляди в един куб. милиметър кръв;б. от 2 до 3 хиляди в един куб. милиметър кръв;в. от 20 до 40 хиляди в един куб. милиметър кръв;г. от 60 до 80 хиляди в един куб. милиметър кръв;а
Рязкото увеличаване на левкоцитите над коя от посочените стойности е показател за развитие на тумори:;а. над 10 хиляди в 1 мм3;б. над 5 хиляди в 1 мм3;в. над 3 хиляди в 1 мм3;г. над 20 хиляди в 1 мм3;г
За левкоцитите е характерен процеса:;а. оплождане;б. мейоза;в. хемолиза;г. Фагоцитоза;г
Левкоцитите се различават от еритроцитите по следното:;а. съдържат ядро и са с по-големи размери от еритроцитите;б. не съдържат ядро и са с по-големи размери от еритроцитите;в. съдържат ядро и са с по-малки размери от еритроцитите;г. не съдържат ядро и са с еднакви размери от еритроцитите;а
Кои от посочените клетки създават невъзприемчивост към определени заболявания?;а. лимфоцити;б. еритроцити;в. тромбоцити;г. Хепатоцити;а
Основната функция на левкоцитите не е:;а. улавяне, поглъщане и разграждане на микроорганизми;б. улавяне, поглъщане и разграждане на чужда частици и разрушени клетки;в. произвеждане на специфичен белтък неутрализиращ чужди тела;г. участие в кръвосъсирването и газовия транспорт;г
Кои клетки могат да образуват цитоплазмени израстъци?;а. левкоцити;б. еритроцити;в. тромбоцити;г. Хепатоцити;а
Тромбоцитите участват:;а. при производството на хемоглобин;б. при съсирването на кръвта;в. във фагоцитозата;г. при формирането на резус фактора;б
Процесът на отлагане на минерални соли в костите се регулира от:;а. витамин А;б. витамин Е;в. витамин D;г. витамин С;в
Съотношението на минерални соли и органични вещества в костите зависи от:;а. пола на индивида;б. надморската височина;в. възрастта на индивида;г. кръвната група на индивида;в
Коя от изброените функции не е присъща за надкостницата?;а. придава здравина на костта;б. изхранване на костта;в. осигурява нарастване на костта на дебелина;г. спомага за заздравяване на счупени кости;а
Дългите кости се намират в:;а. гръбначния стълб;б. черепа;в. туловището;г. Крайниците;г
Костите не могат да бъдат:;а. къси;б. дълги;в. с неправилна форма;г. със спираловидна форма;г
Посочете грешното твърдение.;а. според формата си костите биват дълги, къси, плоски и с неправилна форма;б. при младите индивиди количеството на минерални соли в костите е по-високо отколкото при възрастните индивиди;в. свързването на костите може да бъде неподвижно, полуподвижно, подвижно;г. скелетът на човешкия ембрион е отчасти хрущялен, отчасти костен;б
